Tweet Id;Date;Hour;User Name;Nickname;Bio;Tweet content;Favs;RTs;Latitude;Longitude;Country;Place (as appears on Bio);Profile picture;Followers;Following;Listed;Tweet language (ISO 639-1);Tweet Url
7,25975E+17;29.04.2016;9:10;kiko;YungKeeks21;??The Land of Enchantment? ?BYU. I used to punt for Blue Mountain State.;RT @DILLONFRANCIS: Dude @CalvinHarris fucking amazing!! https://t.co/pbNZr86ZQi;;131;;;;;http://pbs.twimg.com/profile_images/725929019527450630/ZC44nVRK_normal.jpg;557;221;1;en;http://www.twitter.com/YungKeeks21/status/725975413462163456
7,25975E+17;29.04.2016;9:10;get high-class item;high_item;;Apple iPod classic 7th Generation Black (160 GB)  https://t.co/RA5Rw9cbbB https://t.co/MaOcoRfnjJ;;;;;;;http://pbs.twimg.com/profile_images/720108511171096576/39EuJd3Z_normal.jpg;9;40;3;en;http://www.twitter.com/high_item/status/725975412141084673
7,25975E+17;29.04.2016;9:10;?????????;GameAppxx;;"iPhone???????????????48?Radiation Islandhttps://t.co/fYzx3xZcmkRadiationIsland??????????????????...#??? #??? https://t.co/8hG3mrgMqX";;;;;;;http://pbs.twimg.com/profile_images/666450447050240000/U41fou7p_normal.jpg;205;;17;es;http://www.twitter.com/GameAppxx/status/725975411893538816
7,25975E+17;29.04.2016;9:10;Gaigko Youklu;Gaigko__Youklu;Music,sports,photografy,travel,shopping,internet;Apple iPhone 6 - 16GB - Gold (Sprint) Clean Serial Number, Has 1 issue, read des - Bid Now… https://t.co/ewrYsGJQSx https://t.co/yJzJFApW6E;;;53.958;-1.083;GB;New York, USA;http://pbs.twimg.com/profile_images/712710240257646593/HcDCbw4K_normal.jpg;107;;1661;en;http://www.twitter.com/Gaigko__Youklu/status/725975411839107072
7,25975E+17;29.04.2016;9:10;??;rr_rr_rara;??????????????????????????????????????????(_)?????????????????????????????????????????(???????(?/??/????/????/????A/SB69/????/????/???/SAO/Fate/Key? ??;@anko_apple_9 ?????????????????????? https://t.co/vnxhuktJSZ;;;;;;;http://pbs.twimg.com/profile_images/725924735729553412/mMdKxr38_normal.jpg;621;752;55;es;http://www.twitter.com/rr_rr_rara/status/725975411117547521
7,25975E+17;29.04.2016;9:10;Sabelo;Mahoota11;Knew my love came with the pain but i still offered it! || Tattooed ladies make me weak! ?;RT @TinismDotc0m: #ComingOfAge by @KidTini  https://t.co/uUVF90wQhE;;3;-25.98953;28.12843;ZA;Midrand || KwaNzimakwe;http://pbs.twimg.com/profile_images/724483308818714624/HAAfDhHY_normal.jpg;3387;1173;25;es;http://www.twitter.com/Mahoota11/status/725975410035531776
7,25975E+17;29.04.2016;9:10;C S YEO;gtcsyeo;;Get Jokey Smurfs brand smurfin new hut to play his Stocking Stuffer mini game. #SmurfsVillage  https://t.co/EcuBV0OaVV;;;;;;;http://pbs.twimg.com/profile_images/378800000136760222/d3fde8bcd5f49e9dc92e5bff9ad0e5f2_normal.jpeg;9;44;;en;http://www.twitter.com/gtcsyeo/status/7259754099557539847,25975E+17;29.04.2016;9:09;Khoury Antoine;AntoineKhoury4;Acteur (ECDF)  #LeTempsCool. Arthurien, Mothiv?, Louvator, r?volutionnaire et Mozartien ?;"RT @golanyosef_off: ??Album 3M dispo???COUTE: https://t.co/zeBvUy6FUeT?L?CHARGE: https://t.co/1gug4kOb1TACH?TE: https://t.co/lznYv7wicb ht…";;7;33.88894;35.49442;LB;Liban;http://pbs.twimg.com/profile_images/722832537890873344/vHozryPd_normal.jpg;231;692;3;fr;http://www.twitter.com/AntoineKhoury4/status/725975408244494337
7,25975E+17;29.04.2016;9:09;MOViN925OnAir;MOViN925OnAir;;Enjoy listening to I Knew You Were Trouble? Buy it right now on iTunes! https://t.co/F2EVeQmkjE;;;;;;;http://pbs.twimg.com/profile_images/3614786954/a6368898d64c64a6ecf856a57babea07_normal.jpeg;301;1;68;en;http://www.twitter.com/MOViN925OnAir/status/725975407267295232
7,25975E+17;29.04.2016;9:09;Juliet Lopez;juliet_lopez3;;"RT @swissworld: my #dailyduppy is added to my ep as a bonus Brand New EP #StillSolid Ft Wretch [EXECUTIVE PRODUCED BY @SKYBEATS]https://t…";;2;;;;;http://abs.twimg.com/sticky/default_profile_images/default_profile_0_normal.png;28;46;5;en;http://www.twitter.com/juliet_lopez3/status/725975407179251712
7,25975E+17;29.04.2016;9:09;Chicago VR;Chicago_VR;Chicago's Virtual Reality community for innovation and collaboration. Let's build the future.;RT @WearableGuru: Apple is Jumping Into The World of Virtual Reality: https://t.co/FREa9hwF8K #Wearables #Wearables #VirtualReality https:/…;;6;41.85003;-87.65004999999999;US;Chicago;http://pbs.twimg.com/profile_images/540970636940550144/bFgBIT1m_normal.jpeg;1120;820;488;en;http://www.twitter.com/Chicago_VR/status/725975406571040769
7,25975E+17;29.04.2016;9:09;??????;happychan_7501;??14?? ???????????????????????????????…?????????????????????????????????????????????????nana??????https://t.co/afG1aTpoXw??????????;"?????????????????????????????????????-??????????- https://t.co/FHZa1Fp3VJ #??????????????????";;;;;;;http://pbs.twimg.com/profile_images/687854893743210497/q6gcLL1U_normal.jpg;1212;1918;4;es;http://www.twitter.com/happychan_7501/status/725975406524821504
7,25975E+17;29.04.2016;9:09;Alexandra Suzette;gutierrez_suzy;Twenty | Latina ? IG: alexandrasuzettegutierrez;"RT @AppleMusic: Let's go.@drake produced by @kanyewest.#VIEWS #UWithMehttps://t.co/DPKL3RQSW2";;507;53.958;-1.083;GB;New York City;http://pbs.twimg.com/profile_images/725917128264536064/rtysfIfP_normal.jpg;1539;457;7;en;http://www.twitter.com/gutierrez_suzy/status/725975406466101248
7,25975E+17;29.04.2016;9:09;?????????;GameAppxx;;"iPhone???????????????47?Zyon??https://t.co/325RWlOREU10?????1??iOS???????????????...#??? #??? https://t.co/nALypM9Glw";;;;;;;http://pbs.twimg.com/profile_images/666450447050240000/U41fou7p_normal.jpg;205;;17;es;http://www.twitter.com/GameAppxx/status/725975406294093825
7,25975E+17;29.04.2016;9:09;S;TheSnaz_M;sunshine and rain.;RT @Drake: #VIEWS Now Available On iTunes https://t.co/LZ6JFz6WlC https://t.co/C5FSmRf8zw;;81503;;;;;http://pbs.twimg.com/profile_images/697081614610907136/RdshUyij_normal.jpg;349;264;;en;http://www.twitter.com/TheSnaz_M/status/725975405895770112
7,25975E+17;29.04.2016;9:09;DD?????;9mmlovers;;"??????????????????????????????????????????https://t.co/5vTCyRT9Oy#??? #??? #??? #??? #?? https://t.co/TbB9bC8rkC";;;;;;;http://pbs.twimg.com/profile_images/600805045282541568/CB_vSvVW_normal.jpg;8;1;;es;http://www.twitter.com/9mmlovers/status/725975405602041856
7,25975E+17;29.04.2016;9:09;Kuzey;Kuzey_III;Cornerback #17 / Athlet / Student / Robert Griffin III / #HTTR;F?r mich immer gro?e ?berraschung dad elliot an 4 zu dallas geht und giant apple ?ber VH3 ziehen ???? nfc east geh?rt wieder uns #HTTR;;;;;;;http://pbs.twimg.com/profile_images/725401594070765568/FpQfio9I_normal.jpg;60;166;12;de;http://www.twitter.com/Kuzey_III/status/725975404507467776
7,25975E+17;29.04.2016;9:09;Martin Weiss;_MartinWeiss;I pretend to cut hair 10:45p on @tv20detroit M-F. 97.1 The Ticket stepchild. Brunch enthusiast. Your Black Friend. Detroit;Listen to Too Good (feat. Rihanna) by Drake on @AppleMusic.  https://t.co/HqwoeEjmB6;;;;;;;http://pbs.twimg.com/profile_images/724737481145339904/T_Mz3jQA_normal.jpg;1586;664;29;en;http://www.twitter.com/_MartinWeiss/status/725975402863296512
7,25975E+17;29.04.2016;9:09;REB??7/27?;5hgordafan;;RT @FifthHarmony: #727Tracklist • https://t.co/c4fnn8xyu1 https://t.co/KEYpHkvuAx;;10301;;;;;http://pbs.twimg.com/profile_images/720992450228002816/wiwumnFx_normal.jpg;21;31;;es;http://www.twitter.com/5hgordafan/status/725975402775076865
7,25975E+17;29.04.2016;9:09;xLucah;xLucah;.;@m0E_tv  apple music;;;;;;;http://pbs.twimg.com/profile_images/692646564767096832/nd-dhvPx_normal.jpg;160;252;1;en;http://www.twitter.com/xLucah/status/725975401965694977